"LOC100130075" "AGAP2.AS1" "GIHCG" "EGFR.AS1" "TSFM" "CTDSP2" "CDK4" "DCTN2" "AVIL" "OS9" "MBD6" "ARHGEF25" "AGAP2" "CYP27B1" "DDIT3" "GSX2" "EGFR" "DTX3" "VSTM2A" "DKFZp434L192" "SEC61G" "B4GALNT1" "SUMF2" "EEF1AKMT3" "NIPSNAP2" "CHIC2" "VSTM2A.OT1" "NA..64" "SEPTIN14" "ZNF713" "FKBP9P1" "KIF5A" "NUPR2" "RPL21P44" "MIR26A2" "METTL1" "CHCHD2" "MRPS17" "PHKG1" "LANCL2" "PSPH" "TSPAN31" "SLC26A10" "LOC650226" "SNORA15" "PIP4K2C" "VOPP1" "CCT6A" "ATP23" "MARCHF9"
"Camptothecin_1003" -0.0181771383956598 0.00134867405346238 -0.00304699381902833 -0.0148073938185122 -0.00267799567716234 -0.00162655707813616 -0.000162651851613173 0.00240111055642179 -0.00899348184917186 0.000119203437510563 0.00403664839949227 0.0023034018354542 0.00214518635941735 -0.00392256561906269 0.00412978335704456 0.0135733782156524 -0.0168251481900445 0.0023034018354542 -0.002132431279916 0.0128576690362051 -0.0106454148270659 0.001019569798028 0.00716674231508798 -0.00333480470837967 -0.0101481248164322 0.00914750117432661 -0.002132431279916 -0.0101919122832734 0.00211486641488429 0.0151711980278333 0.0024649412886502 0.0023034018354542 0.0106274736976856 0.00861402995263411 -0.00245537700399721 -0.00418192056039487 0.00760214279483822 -7.22040298651248e-05 0.00760214279483822 -0.00365956988221653 -0.00289286800383241 -0.00013342093152931 0.00127345303292324 0.00968842429948884 0.00576177426235283 0.00264221489775356 -0.00136584495674214 0.00576177426235283 -0.00594131968791743 0.00185182037329941
"Vinblastine_1004" -0.00297742416866425 0.0021284123352914 -0.0014792597069709 -0.00308315715606264 0.000771333226569546 -0.00119280395121698 0.000610520366491659 0.00284958102792806 -0.00157927331407171 0.0025687991141811 0.00427364798485238 0.00289253735027111 0.00139065871365111 -0.000901475529503532 0.00427880681732252 0.00146969024510609 -0.00429835329431566 0.00289253735027111 -0.000259836300257055 0.00460520264296989 -0.00209861765168994 0.00303321647576212 0.00494935175451847 -0.0011042125216022 -0.000381151087060839 0.000489269051945123 -0.000259836300257055 -0.000529851133531391 0.00020933487761692 0.00431079784783639 -0.00034889653017544 0.00289253735027111 0.00603432621751552 0.000383391095440823 -0.00151542668680214 -0.0014354677714677 0.00513235137239373 0.000683723747285487 0.00513235137239373 -0.00377699568742367 0.00300896671173779 0.00175993915080519 0.00306639782314724 0.00307376386173909 0.00404381474321029 0.00297284689193765 -0.00288400197814861 0.00404381474321029 -0.00216807072751385 0.00115320374706356
"Cisplatin_1005" -13.6577015910362 -1.12187481473462 -6.82094935784487 -3.41824186311695 -1.45368242422625 -5.85183228247707 -2.83199990898559 -1.85194024138106 -7.129701761735 -3.74284708091655 -0.326360890467564 -1.96415281157109 -0.968159359523703 -6.99449465400063 -0.313247220016775 -1.69134949478064 -6.87014116610484 -1.96415281157109 -4.28829558149301 1.14836085210745 -4.42201081120549 -2.90838529988739 -0.907062124016004 -6.5796550418919 -5.08704323375398 -4.4765517230126 -4.28829558149301 -6.45308518251098 -5.61492946808707 -1.52995591953629 -6.47619253046821 -1.96415281157109 0.420070914491564 -4.73040034096462 -6.60425177337849 -7.34897926249088 -0.672874461388977 -4.17384852337909 -0.672874461388977 -1.85769766903277 -0.91447183136428 -2.83179880055378 -2.81773894671347 -0.182277401379159 -1.69075876972506 -1.47186524746768 -6.56479812416752 -1.69075876972506 -7.58625081269615 -2.18188804645123
"Cytarabine_1006" -2.14673221333176 -0.701273799927479 -1.63230380584562 -1.36046323238061 -0.787974132706007 -1.50051402913194 -0.936471594674139 -1.0969608034148 -1.69097395062832 -1.07449379282345 -0.912538132112042 -1.09654464360625 -0.662229562314202 -1.55775665675824 -0.905478626966261 -0.390231294042231 -2.11228978875063 -1.09654464360625 -0.77137218639641 0.43058029421839 -1.13165585049268 -1.03501606864561 0.275623243453079 -1.61516219783171 -0.162155687046236 -1.170503868517 -0.77137218639641 -0.841143689764772 -0.504021204203343 0.579377967635202 -0.208980619791463 -1.09654464360625 0.523848654351633 -1.24228818531425 -1.61563145668665 -1.7329224536263 0.308442896197714 -0.468369500667744 0.308442896197714 -0.647088206717798 0.617589459001193 -0.921514695210042 -1.01453403933008 0.317074447955321 0.236816329874321 -1.03353064476166 -0.608898843184963 0.236816329874321 -1.71496894167585 -0.862088725630551
"Docetaxel_1007" -0.00104322441922014 6.82106245855359e-05 -0.000771386858094279 -0.00052209524990162 -0.0002896201633507 -0.000587969810804149 -0.000507173269454611 0.000695187114205519 -0.000767491739313409 0.000380838715942767 0.000847706387309661 0.000676379899531829 -0.000230414128292308 -0.000801525953029033 0.000833468873128918 -0.000394555872416263 -0.00108855353618699 0.000676379899531829 2.37648742268826e-05 0.000977732531964267 -0.000537456460981554 0.000447849553056698 0.00128152353300129 -0.000683084209520881 -0.000149893312562568 -0.000593130227879159 2.37648742268826e-05 0.000137210853100909 -0.000214482540374069 0.000992022360838411 -0.000554947088972072 0.000676379899531829 0.00161009137571347 -0.000609036919024267 -0.00064995184131883 -0.000746319230303462 0.00131887612151776 8.38389095120945e-05 0.00131887612151776 -0.00069946014819846 0.000546571320872244 -0.000104362322920682 0.000461488862455434 0.000755110529767275 0.00116281822658513 0.000730362686923804 -0.00114555654658128 0.00116281822658513 -0.00100909467835005 -0.000337804237581487
"Gefitinib_1010" 0.773098027128643 -0.0862363828059085 -1.00745262864023 0.77939421825837 -0.405034746335086 -0.405127515522893 -0.0130253980548733 -0.521765492299476 -0.64381609580904 -0.33425317492689 -0.406182095100701 -0.583391690211807 0.176454564224264 -0.00260269211728473 -0.409035115355896 -0.563644432742065 1.07547762897497 -0.583391690211807 -1.5034277547821 1.84560630899553 -0.204477334990527 -0.988524804890025 2.28141105208808 0.402542560351181 2.80304620973834 -1.64422317543966 -1.5034277547821 -1.65568309602985 2.22590872092454 2.19481359393219 1.88942458047253 -0.583391690211807 2.07706180084903 -1.7434495792767 -0.432800951508818 0.373656404991752 2.08447668898511 2.33906245850865 2.08447668898511 1.33412990197149 1.64695612633872 -0.0666579496865879 -1.08755289384876 2.08295370039313 1.89449704922572 -0.562628867383076 0.418287369214451 1.89449704922572 -0.946029327006898 0.0556326357312942
"Navitoclax_1011" -0.685228951620102 -1.58954796645361 -0.878551312037171 1.07766247113218 -1.71627127951859 -1.07956125749362 -0.557232006290648 -1.3993330121254 -1.59701785671926 -2.47076748645372 -1.06239277103587 -1.46435834745131 -1.15077304860563 -0.205946485750987 -1.01369058526 -1.86357729585788 2.41222706161791 -1.46435834745131 2.5886304621911 0.516823326698678 0.914924667203859 -1.94715752574583 1.22708239285559 0.214988525420293 0.531634249461072 -1.91831836548792 2.5886304621911 2.0482783434353 4.84799056565379 3.88489848804541 5.05569209180956 -1.46435834745131 0.655043271567003 -1.90866488980555 -1.04755399670844 0.246821203982462 1.24172462899877 2.64205813540736 1.24172462899877 2.11769041386901 -0.00988326879996636 -0.719751990816468 -1.93570000694858 0.939705791210031 0.849920455996118 -1.51277847308385 3.52881647503946 0.849920455996118 -0.737054296858675 -0.651444985229503
"Vorinostat_1012" -0.639629105289106 -0.360410137581943 -0.276330190205747 -0.117240562190598 -0.385897730608003 -0.299660634736981 -0.40190528620419 -0.194675223653928 -0.392046551654181 -0.541459360878868 -0.0552973627536949 -0.208591125094901 -0.275099729998831 -0.331095394482662 -0.0483571468660534 -0.475869267070602 -0.206946897075282 -0.208591125094901 -0.00942395191033625 0.362324349893706 -0.083661819540548 -0.318069643248828 0.341599864158374 -0.243701142948425 0.249070270706483 -0.795470717320184 -0.00942395191033625 0.10095704166909 0.418071181326556 0.460709785331725 0.567018886857417 -0.208591125094901 0.301170013290071 -0.822345502407581 -0.29719383032741 -0.241092966608181 0.333532857490742 0.348137138066107 0.333532857490742 0.0500805426180873 0.0714483433733332 -0.413292086763248 -0.316946886065318 0.403518198402654 0.284485977496844 -0.204232127329005 0.189400657908938 0.284485977496844 -0.265160044955031 -0.414668383608178
"Nilotinib_1013" -9.57001619854333 -1.06598654275606 -4.28052947836692 -5.66287332783245 -2.81095339200263 -3.12034541931843 -3.23678096019363 -4.74870150327962 -4.87730209987926 -3.50738475860974 -4.74845824747315 -4.74480138424303 -0.428905196856131 -3.87244782440871 -4.83859894529005 -5.81599888953905 -8.16089728279658 -4.74480138424303 -5.9662945399916 1.51797487858191 -4.88640281614642 -4.28642612772529 3.17255326960627 -3.87694071303516 1.38665582759671 -8.54677750876429 -5.9662945399916 -2.77447182109648 -2.1411595045447 1.93639253796963 -2.24964175057915 -4.74480138424303 3.59015288188629 -8.76240426509362 -3.37587924039483 -4.13776577994938 3.28937999711215 0.565304918649114 3.28937999711215 -3.50047797604792 2.42678065244321 -2.9428348556884 -4.37134308818728 1.39839037250937 3.00550122764561 -4.62254026943345 -3.88797764024253 3.00550122764561 -4.40989932567369 -3.03337001920747
"Olaparib_1017" -9.61116446202138 -1.47497192262309 -6.43043954062089 -3.02357198658868 -1.89475114110653 -4.01474113549189 -2.05460703272154 -2.08331862220166 -5.24664595329567 -2.70370793453374 -2.19072903986435 -2.27867497715489 -0.93404064095264 -4.15943005632558 -2.21203767016155 -3.05023915141573 -3.12847841578779 -2.27867497715489 -4.32151244239394 12.6440338663668 -4.99523615214408 -3.60273367283342 12.2873879771247 -3.06948099348833 6.01557384042138 -5.20617823440943 -4.32151244239394 -6.1894681604754 10.1046837152293 14.7670137785424 8.53659864440242 -2.27867497715489 13.3865330881115 -5.38874647316551 -4.44856526448249 -3.51368779741005 12.3794882641814 7.99250240430333 12.3794882641814 4.31333125440843 11.2239701609433 -2.18662629615137 -3.84621162265803 11.8821315000388 10.2713276443942 -2.16477749044926 1.49856698323061 10.2713276443942 -6.37617666944341 -1.7351811364982
